CFG;MUT;NUM;ERRin;ERRout;OPE;idx;GEN
NSGA;3;1;10;0.0;3.0;19670;51
NSGA;3;2;3;0.0;3.0;8603;18
NSGA;3;3;8;0.0;4.0;24759;248
NSGA;3;4;5;0.0;3.0;7863;79
NSGA;3;5;3;0.0;3.0;19135;36
NSGA;4;1;7;2.0;5.0;48436;-1
NSGA;4;2;5;0.0;4.0;46403;465
NSGA;4;3;7;0.0;4.0;8866;20
NSGA;4;4;9;0.0;4.0;17304;174
NSGA;4;5;7;0.0;4.0;6978;28
NSGA;5;1;6;0.0;5.0;3420;35
NSGA;5;2;8;0.0;5.0;11176;112
NSGA;5;3;8;0.0;6.0;49293;441
NSGA;5;4;11;0.0;5.0;32458;266
NSGA;5;5;9;0.0;5.0;8551;86
NSGA;6;1;9;0.0;6.0;7556;76
NSGA;6;2;15;0.0;6.0;31290;216
NSGA;6;3;9;0.0;6.0;26985;270
NSGA;6;4;6;0.0;6.0;38510;335
NSGA;6;5;7;1.0;5.0;7578;-1
NSGA;7;1;8;0.0;7.0;39648;397
NSGA;7;2;7;1.0;5.0;45776;-1
NSGA;7;3;9;1.0;6.0;8970;-1
NSGA;7;4;8;1.0;6.0;10649;-1
NSGA;7;5;10;1.0;6.0;12939;-1
NSGA;8;1;9;1.0;7.0;92685;-1
NSGA;8;2;10;0.0;8.0;65103;576
NSGA;8;3;9;0.0;8.0;61731;340
NSGA;8;4;12;1.0;7.0;49464;-1
NSGA;8;5;9;0.0;7.0;48458;309
